state,x,y
New Delhi,-133.0,149.0
Uttar Pradesh,-48.0,110
Bihar,87.0,63.0
Jharkhand,63.0,3.0
West Bengal,136.0,-1.0
Haryana,-148.0,163.0
Himachal Pradesh,-131.0,244.0
Jammu And Kashmir,-156.0,320.0
Punjab,-177.0,218.0
Rajasthan,-214.0,104.0
Gujarat,-273.0,-5.0
Madhya Pradesh,-109.0,1.0
Uttrakhand,-80.0,197.0
Odisha,47.0,-73.0
Telangana,-86.0,-138.0
Maharashtra,-186.0,-108.0
Chhatisgarh,-16.0,-57.0
Karnataka,-169.0,-231.0
Andhra Pradesh,-78.0,-214.0
Tamil Nadu,-102.0,-327.0
Kerala,-151.0,-339.0
Goa,-209.0,-209.0
Lakshadweep,-249.0,-332.0
Andman And Nicobar Islands,262.0,-299.0
Sikkim,150.0,117.0
Assam,263.0,83.0
Meghalya,224.0,60.0
Mizoram,263.0,6.0
Manipur,288.0,37.0
Nagaland,309.0,79.0
Arunachal Pradesh,301.0,141.0
Tripura,233.0,10.0
